smiles_standarized,label
CC[C@H](C)[C@H]1NC(=O)[C@@H](NC(=O)[C@@H](CC(C)C)NC)[C@@H](C)OC(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)C(=O)[C@H](C(C)C)OC(=O)C[C@@H]1O,-5.89
CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,-4.73
CC[C@H](C)[C@H]1OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C1=O,-5.66
CC[C@H](C)[C@H]1OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H](C(C)C)N(C)C1=O,-5.34
CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,-5.45
CC[C@H](C)[C@H]1OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H](C(C)C)N(C)C1=O,-5.99
CC(C)C[C@@H]1OC(=O)[C@H](C)NC(=O)[C@H](C(C)(C)O)OC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](Cc2ccccc2)N(C)C1=O,-5.19
CC(C)C[C@@H]1OC(=O)[C@H](C)NC(=O)[C@H](C(C)C)OC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](Cc2ccccc2)N(C)C1=O,-5.19
CC[C@H](C)[C@@H]1NC(=O)c2csc(n2)[C@@H](C)NC(=O)[C@H]2N=C(O[C@@H]2C)[C@H](C(C)C)NC(=O)c2csc(n2)[C@@H](Cc2ccccc2)NC(=O)[C@H]2N=C1O[C@@H]2C,-4.72
CC(C)CC1NC(=O)C2(CCCCOCC(C)NC1=O)CCN(Cc1ccc(C(C)C)cc1)CC2,-5.027
CCC(=O)N1CCCN(C(C)C)CCCN(C(=O)c2ccc3ccccc3n2)Cc2cc(F)c(F)cc21,-5.695
CC(C)CC1NC(=O)C2(CCCCOCC(C)NC1=O)CCN(Cc1cccc(Cl)c1)CC2,-5.079
CC(C)CC1NC(=O)C2(CCCCOCC(C)NC1=O)CCN(CCCc1ccccc1)CC2,-5.197
Cc1ccc(CN2CCC3(CCCCOCC(C)NC(=O)C(CC(C)C)NC3=O)CC2)cc1C,-5.079
CCOc1ccccc1CN1CCC2(CCCCOCC(C)NC(=O)C(CC(C)C)NC2=O)CC1,-5.116
CC1NC(=O)CCC(C(=O)NCCCCN(C)C)NC(=O)c2ccccc2OCC(Cc2ccccc2)N(C)C1=O,-6.509
CC(=O)N1CCCCCCCN(C(C)C)Cc2cc(C(=O)NC3CCN(Cc4ccccc4)CC3)ccc21,-5.186
COc1cccc(OCC(=O)N2CCCCC3(CCN(Cc4ccncc4)CC3)C(=O)OCC(O)C(O)CC2)c1,-6.699
COc1ccccc1CN1CCC2(CCCCOCC(C)NC(=O)C(CC(C)C)NC2=O)CC1,-5.35
COCC12CCCCNCCOc3ccccc3C(=O)N(CC1)CC2,-6.167
O=C(Cc1ccc2c(c1)CN(Cc1ccccc1)CC(=O)NCCCCCO2)NCCN1CCCCC1,-5.73
COC1CN(C(=O)c2ccccc2F)CC(CC(C)C)N(C(=O)CN2CCN(C(C)C)CC2)CCCCOCC(O)C1O,-6.509
CC1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)CCN2CCCC2)CC(=O)N1,-6.367
CN1CCC2(CCCCN(C(=O)Cc3c[nH]c4ccccc34)CCC(O)C(O)COC2=O)CC1,-6.921
CC(=O)N1CCCCCCCN(CC(C)C)Cc2cc(C(=O)N3CCCC3)ccc21,-5.265
CN1CCCCN(C(=O)CN(C)C2CCCC2)CCCOc2ccc(Cl)cc2C1=O,-5.783
CC(C)CC1NC(=O)c2cc(Cl)ccc2OC/C=C/CC2(CCN(CC(=O)N(C(C)C)C(C)C)CC2)CNC1=O,-5.772
CC1CCN(CC(=O)N2CCCCN(C)C(=O)c3cc(Cl)ccc3OCC2)CC1,-5.73
COc1ccccc1CNC(=O)c1ccc2c(c1)Cc1cccc(c1)CN(C)CCCCCO2,-5.46
O=C(c1cnc2ccccc2c1)N1CCCCC2(CCN(Cc3ccccc3)CC2)C(=O)OCC(O)C(O)CC1,-6.108
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CCCC(O)C3)ccc21,-5.475
CC(=O)N1CCCCCCCN(C(C)C)Cc2cc(C(=O)NC(CO)CC(C)C)ccc21,-5.48
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)Nc3cnccc3C)ccc21,-5.654
COCC(=O)N1CCCCCCCNCc2cc(NCCc3ccc(F)cc3)ccc21,-5.772
Cc1nn(CCNC(=O)c2ccc3c(c2)Cc2cccc(c2)CN(C)CCCCCO3)c(C)c1Cl,-5.996
